DEBUG: Body Content Start: SET locvar_OptIn = 1; SET locvar_OptOut = 2; SET locvar_AusdruecklicheEinwilligungTelefonisch = '10'; SET locvar_AusdruecklicheEinwilligungOnline = '11'; SET locvar_MutmasslicheEinwilligung = '20'; SE
DEBUG: Body Content End: yValue,8,1) = '1') /* Vertriebskontaktstatus Freenet*/
        SET locvar_permissionStatus = locvar_OptOut else if(locvar_propertyTypeId in (132, 133, 134))
        SET locvar_permissionStatus = null 
DEBUG: Manual Tokenize Count: 155
Token 133: ) (TokenType.R_PAREN) Line 7
Token 134: SET (TokenType.SET) Line 8
Token 135: locvar_permissionStatus (TokenType.VAR) Line 8
Token 136: = (TokenType.EQ) Line 8
Token 137: locvar_OptOut (TokenType.VAR) Line 8
Token 138: else (TokenType.ELSE) Line 8
Token 139: if (TokenType.IF) Line 8
Token 140: ( (TokenType.L_PAREN) Line 8
Token 141: locvar_propertyTypeId (TokenType.VAR) Line 8
Token 142: in (TokenType.IN) Line 8
Token 143: ( (TokenType.L_PAREN) Line 8
Token 144: 132 (TokenType.NUMBER) Line 8
Token 145: , (TokenType.COMMA) Line 8
Token 146: 133 (TokenType.NUMBER) Line 8
Token 147: , (TokenType.COMMA) Line 8
Token 148: 134 (TokenType.NUMBER) Line 8
Token 149: ) (TokenType.R_PAREN) Line 8
Token 150: ) (TokenType.R_PAREN) Line 8
Token 151: SET (TokenType.SET) Line 9
Token 152: locvar_permissionStatus (TokenType.VAR) Line 9
Token 153: = (TokenType.EQ) Line 9
Token 154: null (TokenType.NULL) Line 9
Traceback (most recent call last):
  File "/home/josef/github.com/credativ/credativ-pg-migrator/tsql_convertor_gemini.py", line 138, in convert_file
    converted_code = self.convert_code(code)
                     ^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/josef/github.com/credativ/credativ-pg-migrator/tsql_convertor_gemini.py", line 153, in convert_code
    elif is_proc or is_func: return self._convert_funcproc(code)
                                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/josef/github.com/credativ/credativ-pg-migrator/tsql_convertor_gemini.py", line 169, in _convert_funcproc
    pg_body, declarations = self._process_body(body_content)
                            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/josef/github.com/credativ/credativ-pg-migrator/tsql_convertor_gemini.py", line 300, in _process_body
    parsed = sqlglot.parse(body_content, read=CustomTSQL)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/usr/lib/python3/dist-packages/sqlglot/__init__.py", line 64, in parse
    return dialect.parse(sql, **opts)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/usr/lib/python3/dist-packages/sqlglot/dialects/dialect.py", line 157, in parse
    return self.parser(**opts).parse(self.tokenizer.tokenize(sql), sql)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/usr/lib/python3/dist-packages/sqlglot/parser.py", line 703, in parse
    return self._parse(
           ^^^^^^^^^^^^
  File "/usr/lib/python3/dist-packages/sqlglot/parser.py", line 769, in _parse
    self.raise_error("Invalid expression / Unexpected token")
  File "/usr/lib/python3/dist-packages/sqlglot/parser.py", line 812, in raise_error
    raise error
sqlglot.errors.ParseError: Invalid expression / Unexpected token. Line 1, Col: 373.
  neEinwilligung = '50'; SET locvar_AusdruecklicheAblehnung = '60' SET locvar_permissionStatus = null [4mif[0m(locvar_propertyTypeId in (77,79,82,85,100,102,110,111)) /* OptOut only*/
        SET locvar_permiss
